N.,COMUNE,PROVINCIA,POPOLAZIONE,S.R.R. di COMPETENZA,R.I. (ton),R.D. (ton),R.T. (ton),% R.D.,R.C. (ton),EXTRA D.M. 2016 (ton)
183,Castell'Umberto,MESSINA,2.776,MESSINA PROVINCIA,"225,88","52,85","278,73","81,04%","278,73","0,00"
184,Sant'Angelo di Brolo,MESSINA,2.680,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
185,Tusa,MESSINA,2.480,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
186,San Piero Patti,MESSINA,2.586,MESSINA PROVINCIA,"263,86","83,66","347,52","75,93%","347,52","0,00"
187,San Pier Niceto,MESSINA,2.544,MESSINA AREA METROPOLITANA,"232,10","130,60","362,70","63,99%","362,70","0,00"
188,Letojanni,MESSINA,2.928,MESSINA AREA METROPOLITANA,"374,55","312,30","686,85","54,53%","686,85","0,00"
189,Monforte San Giorgio,MESSINA,2.434,MESSINA AREA METROPOLITANA,"236,55","118,08","354,63","66,70%","354,63","0,00"
190,Falcone,MESSINA,2.803,MESSINA PROVINCIA,"304,20","128,28","432,48","70,34%","432,48","0,00"
191,Sinagra,MESSINA,2.442,MESSINA PROVINCIA,"191,97","8,27","200,24","95,87%","200,24","0,00"
192,Galati Mamertino,MESSINA,2.151,MESSINA PROVINCIA,"193,86","51,38","245,24","79,05%","245,24","0,00"
193,Alì Terme,MESSINA,2.302,MESSINA AREA METROPOLITANA,"282,56","81,72","364,28","77,57%","364,28","0,00"
194,Castroreale,MESSINA,2.258,MESSINA AREA METROPOLITANA,"162,70","59,89","222,59","73,09%","222,59","0,00"
195,Cesarò,MESSINA,2.083,MESSINA PROVINCIA,"150,15","96,14","246,29","60,97%","246,29","0,00"
196,Merì,MESSINA,2.354,MESSINA AREA METROPOLITANA,"0,00","0,00","0,00","0,00%","0,00","0,00"
197,Montalbano Elicona,MESSINA,2.117,MESSINA PROVINCIA,"99,92","50,16","150,08","66,58%","150,08","0,00"
198,Oliveri,MESSINA,2.204,MESSINA PROVINCIA,"378,41","82,74","461,15","82,06%","461,15","0,00"
199,Scaletta Zanclea,MESSINA,1.842,MESSINA AREA METROPOLITANA,"180,71","91,06","271,77","66,49%","271,77","0,00"
200,Rodì Milici,MESSINA,1.952,MESSINA PROVINCIA,"185,83","58,34","244,17","76,11%","244,17","0,00"
201,San Marco d'Alunzio,MESSINA,1.793,MESSINA PROVINCIA,"169,87","51,39","221,26","76,77%","221,26","0,00"
202,Alcara li Fusi,MESSINA,1.616,MESSINA PROVINCIA,"67,67","19,39","87,06","77,73%","87,06","0,00"
203,Gualtieri Sicaminò,MESSINA,1.538,MESSINA AREA METROPOLITANA,"0,00","0,00","0,00","0,00%","0,00","0,00"
204,Savoca,MESSINA,1.751,MESSINA AREA METROPOLITANA,"148,67","72,80","221,47","67,13%","221,47","0,00"
205,Librizzi,MESSINA,1.547,MESSINA PROVINCIA,"76,16","22,44","98,60","77,24%","98,60","0,00"
206,Itala,MESSINA,1.509,MESSINA AREA METROPOLITANA,"0,00","0,00","0,00","0,00%","0,00","0,00"
207,Montagnareale,MESSINA,1.352,MESSINA PROVINCIA,"81,35","16,82","98,17","82,87%","98,17","0,00"
208,Mazzarrà Sant'Andrea,MESSINA,1.418,MESSINA PROVINCIA,"79,19","19,88","99,07","79,93%","99,07","0,00"
209,Sant'Alessio Siculo,MESSINA,1.549,MESSINA AREA METROPOLITANA,"186,38","148,00","334,38","55,74%","334,38","0,00"
210,Graniti,MESSINA,1.463,MESSINA PROVINCIA,"97,53","45,82","143,36","68,04%","143,36","0,00"
211,Longi,MESSINA,1.273,MESSINA PROVINCIA,"130,89","13,37","144,26","90,73%","144,26","0,00"
212,Ficarra,MESSINA,1.273,MESSINA PROVINCIA,"103,27","23,06","126,33","81,75%","126,33","0,00"
213,Fiumedinisi,MESSINA,1.352,MESSINA AREA METROPOLITANA,"81,37","37,16","118,53","68,65%","118,53","0,00"
214,San Teodoro,MESSINA,1.210,MESSINA PROVINCIA,"102,07","33,64","135,71","75,21%","135,71","0,00"
215,Novara di Sicilia,MESSINA,1.074,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
216,Pettineo,MESSINA,1.238,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
217,Valdina,MESSINA,1.234,MESSINA AREA METROPOLITANA,"86,55","100,26","186,81","46,33%","186,81","0,00"
218,Militello Rosmarino,MESSINA,1.178,MESSINA PROVINCIA,"77,28","38,93","116,21","66,50%","116,21","0,00"
219,Castel di Lucio,MESSINA,1.400,MESSINA PROVINCIA,"102,27","13,80","116,07","88,11%","119,87","3,80"
220,San Salvatore di Fitalia,MESSINA,1.112,MESSINA PROVINCIA,"85,98","22,09","108,07","79,56%","108,97","0,90"
221,Pagliara,MESSINA,1.117,MESSINA AREA METROPOLITANA,"86,79","27,20","113,99","76,14%","113,99","0,00"
222,Roccavaldina,MESSINA,991,MESSINA AREA METROPOLITANA,"65,85","55,14","120,99","54,42%","120,99","0,00"
223,Castelmola,MESSINA,1.073,MESSINA AREA METROPOLITANA,"117,67","41,62","159,29","73,87%","159,29","0,00"
224,Ucria,MESSINA,859,MESSINA PROVINCIA,"55,49","10,97","66,46","83,49%","66,46","0,00"
225,Raccuja,MESSINA,836,MESSINA PROVINCIA,"38,52","12,81","51,33","75,05%","51,33","0,00"
226,Fondachelli-Fantina,MESSINA,1.150,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
227,Santa Domenica Vittoria,MESSINA,855,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
228,Mirto,MESSINA,862,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
229,Malfa,MESSINA,984,ISOLE EOLIE,"92,28","81,48","173,76","53,11%","177,46","3,70"
230,Santa Marina Salina,MESSINA,852,ISOLE EOLIE,"89,76","82,92","172,68","51,98%","172,68","0,00"
231,Antillo,MESSINA,781,MESSINA AREA METROPOLITANA,"61,98","10,76","72,74","85,21%","72,74","0,00"
232,Forza d'Agrò,MESSINA,931,MESSINA AREA METROPOLITANA,"128,31","44,40","172,71","74,29%","172,71","0,00"
233,Tripi,MESSINA,717,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
234,Casalvecchio Siculo,MESSINA,701,MESSINA AREA METROPOLITANA,"52,71","14,88","67,59","77,98%","67,89","0,30"
235,Limina,MESSINA,721,MESSINA AREA METROPOLITANA,"25,52","19,85","45,37","56,25%","45,37","0,00"
236,Motta Camastra,MESSINA,768,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
237,Reitano,MESSINA,715,MESSINA PROVINCIA,"13,68","21,82","35,50","38,54%","35,50","0,00"
238,Alì,MESSINA,614,MESSINA AREA METROPOLITANA,"35,28","16,67","51,95","67,91%","51,95","0,00"
239,Motta d'Affermo,MESSINA,646,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
240,Malvagna,MESSINA,598,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
241,Frazzanò,MESSINA,536,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
242,Moio Alcantara,MESSINA,687,MESSINA PROVINCIA,"32,34","24,88","57,22","56,52%","57,22","0,00"
243,Leni,MESSINA,678,ISOLE EOLIE,"17,52","27,68","45,20","38,76%","45,20","0,00"
244,Roccella Valdemone,MESSINA,538,MESSINA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
245,Basicò,MESSINA,655,MESSINA PROVINCIA,"36,58","43,64","80,22","45,60%","80,22","0,00"
246,Mandanici,MESSINA,485,MESSINA AREA METROPOLITANA,"49,10","12,82","61,92","79,30%","61,92","0,00"
247,Mongiuffi Melia,MESSINA,513,MESSINA AREA METROPOLITANA,"37,72","21,09","58,81","64,14%","58,81","0,00"
248,Condrò,MESSINA,493,MESSINA AREA METROPOLITANA,"34,15","22,72","56,87","60,05%","56,87","0,00"
249,Floresta,MESSINA,460,MESSINA PROVINCIA,"30,30","14,48","44,78","67,66%","44,78","0,00"
250,Gallodoro,MESSINA,323,MESSINA AREA METROPOLITANA,"32,78","14,09","46,87","69,94%","46,87","0,00"
251,Roccafiorita,MESSINA,160,MESSINA AREA METROPOLITANA,"8,37","1,21","9,58","87,37%","9,58","0,00"
252,Palermo,PALERMO,625.956,PALERMO AREA METROPOLITANA,"14.928,37","74.877,33","89.805,71","16,62%","89.926,44","120,74"
253,Bagheria,PALERMO,52.904,PALERMO AREA METROPOLITANA,"0,00","0,00","0,00","0,00%","0,00","0,00"
254,Monreale,PALERMO,38.690,PALERMO PROVINCIA OVEST,"2.480,76","1.056,90","3.537,66","70,12%","3.537,66","0,00"
255,Carini,PALERMO,40.641,PALERMO AREA METROPOLITANA,"3.429,24","1.209,79","4.639,03","73,92%","4.639,03","0,00"
256,Partinico,PALERMO,30.636,PALERMO AREA METROPOLITANA,"2.978,28","840,35","3.818,63","77,99%","3.818,63","0,00"
257,Misilmeri,PALERMO,29.032,PALERMO PROVINCIA OVEST,"2.961,10","792,46","3.753,56","78,89%","3.756,32","2,76"
258,Termini Imerese,PALERMO,24.716,PALERMO PROVINCIA EST,"0,00","0,00","0,00","0,00%","0,00","0,00"
259,Villabate,PALERMO,19.435,PALERMO AREA METROPOLITANA,"1.672,80","857,68","2.530,48","66,11%","2.530,48","0,00"
