N.,COMUNE,PROVINCIA,POPOLAZIONE,S.R.R. di COMPETENZA,R.I. (ton),R.D. (ton),R.T. (ton),% R.D.,R.C. (ton),EXTRA D.M. 2016 (ton)
356,Francofonte,SIRACUSA,11.534,SIRACUSA PROVINCIA,"433,82","819,64","1.253,46","34,61%","1.253,46","0,00"
357,Priolo Gargallo,SIRACUSA,11.115,SIRACUSA PROVINCIA,"948,00","1.041,10","1.989,10","47,66%","1.989,10","0,00"
358,Palazzolo Acreide,SIRACUSA,7.957,SIRACUSA PROVINCIA,"830,15","440,54","1.270,69","65,33%","1.346,65","75,96"
359,Sortino,SIRACUSA,8.041,SIRACUSA PROVINCIA,"997,44","197,88","1.195,32","83,45%","1.198,62","3,30"
360,Solarino,SIRACUSA,7.528,SIRACUSA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
361,Canicattini Bagni,SIRACUSA,6.467,SIRACUSA PROVINCIA,"514,88","195,02","709,90","72,53%","709,90","0,00"
362,Portopalo di Capo Passero,SIRACUSA,3.859,SIRACUSA PROVINCIA,"0,00","0,00","0,00","0,00%","0,00","0,00"
363,Ferla,SIRACUSA,2.236,SIRACUSA PROVINCIA,"248,56","73,66","322,22","77,14%","322,30","0,08"
364,Buccheri,SIRACUSA,1.708,SIRACUSA PROVINCIA,"177,81","68,86","246,67","72,08%","246,67","0,00"
365,Buscemi,SIRACUSA,935,SIRACUSA PROVINCIA,"80,00","34,88","114,88","69,64%","114,88","0,00"
366,Cassaro,SIRACUSA,729,SIRACUSA PROVINCIA,"47,90","18,32","66,22","72,33%","66,22","0,00"
367,Marsala,TRAPANI,79.693,TRAPANI PROVINCIA NORD,"8.142,42","2.421,11","10.563,53","77,08%","10.563,53","0,00"
368,Trapani,TRAPANI,54.887,TRAPANI PROVINCIA NORD,"6.834,46","3.475,12","10.309,58","66,29%","10.345,08","35,50"
369,Mazara del Vallo,TRAPANI,49.970,TRAPANI PROVINCIA SUD,"5.211,09","972,55","6.183,64","84,27%","6.190,96","7,32"
370,Alcamo,TRAPANI,44.596,TRAPANI PROVINCIA NORD,"4.188,50","2.001,52","6.190,02","67,67%","6.213,45","23,43"
371,Castelvetrano,TRAPANI,29.342,TRAPANI PROVINCIA SUD,"3.624,61","673,02","4.297,63","84,34%","4.297,95","0,33"
372,Erice,TRAPANI,25.756,TRAPANI PROVINCIA NORD,"3.826,69","1.358,31","5.185,00","73,80%","5.185,35","0,36"
373,Castellammare del Golfo,TRAPANI,14.584,TRAPANI PROVINCIA NORD,"2.230,24","620,66","2.850,90","78,23%","2.858,82","7,92"
374,Valderice,TRAPANI,11.289,TRAPANI PROVINCIA NORD,"1.647,09","346,76","1.993,85","82,61%","1.994,89","1,04"
375,Campobello di Mazara,TRAPANI,11.224,TRAPANI PROVINCIA SUD,"629,55","322,00","951,55","66,16%","951,55","0,00"
376,Paceco,TRAPANI,10.564,TRAPANI PROVINCIA NORD,"1.230,82","235,34","1.466,16","83,95%","1.633,94","167,78"
377,Partanna,TRAPANI,9.782,TRAPANI PROVINCIA SUD,"1.233,98","260,16","1.494,14","82,59%","1.494,14","0,00"
378,Salemi,TRAPANI,9.822,TRAPANI PROVINCIA SUD,"1.165,15","243,96","1.409,11","82,69%","1.409,11","0,00"
379,Petrosino,TRAPANI,7.921,TRAPANI PROVINCIA SUD,"1.130,26","142,88","1.273,14","88,78%","1.273,14","0,00"
380,Pantelleria,TRAPANI,7.175,TRAPANI PROVINCIA NORD,"773,43","202,00","975,43","79,29%","975,43","0,00"
381,Calatafimi-Segesta,TRAPANI,6.019,TRAPANI PROVINCIA NORD,"695,78","129,99","825,77","84,26%","825,77","0,00"
382,Custonaci,TRAPANI,5.251,TRAPANI PROVINCIA NORD,"678,49","239,02","917,51","73,95%","917,51","0,00"
383,Santa Ninfa,TRAPANI,4.705,TRAPANI PROVINCIA SUD,"474,87","98,02","572,89","82,89%","572,89","0,00"
384,San Vito Lo Capo,TRAPANI,4.866,TRAPANI PROVINCIA NORD,"77,18","33,40","110,58","69,80%","110,58","0,00"
385,Favignana,TRAPANI,4.515,TRAPANI PROVINCIA NORD,"760,83","174,49","935,32","81,34%","935,32","0,00"
386,Gibellina,TRAPANI,3.650,TRAPANI PROVINCIA SUD,"521,52","159,25","680,77","76,61%","680,77","0,00"
387,Buseto Palizzolo,TRAPANI,2.754,TRAPANI PROVINCIA NORD,"343,51","66,37","409,88","83,81%","409,88","0,00"
388,Vita,TRAPANI,1.733,TRAPANI PROVINCIA SUD,"167,69","37,96","205,65","81,54%","205,65","0,00"
389,Salaparuta,TRAPANI,1.567,TRAPANI PROVINCIA SUD,"185,74","40,32","226,06","82,16%","226,06","0,00"
390,Poggioreale,TRAPANI,1.277,TRAPANI PROVINCIA SUD,"111,64","20,36","132,00","84,58%","132,00","0,00"
391,Misiliscemi,TRAPANI,8.454,TRAPANI PROVINCIA NORD,"1.052,97","535,40","1.588,38","66,29%","1.593,85","5,47"
