n;comune;provincia;popolazione;s_r_r_di_competenza;r_i_ton;r_d_ton;r_t_ton;r_d;r_c_ton;extra_d_m_2016_ton;sigla_automobilistica;id_comune
179;Caronia;MESSINA;2937;MESSINA PROVINCIA;125,74;68,42;194,16;64,76;194,16;0,0;ME;083011-(2016-06-06)
180;Furci Siculo;MESSINA;3252;MESSINA AREA METROPOLITANA;258,58;72,04;330,62;78,21;330,62;0,0;ME;083027-(1919-08-09)
181;Capizzi;MESSINA;2768;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083008-(2016-06-06)
182;Gaggi;MESSINA;3087;MESSINA AREA METROPOLITANA;252,29;129,96;382,25;66,0;382,25;0,0;ME;083029-(2016-06-06)
183;Castell'Umberto;MESSINA;2776;MESSINA PROVINCIA;225,88;52,85;278,73;81,04;278,73;0,0;ME;083014-(2016-06-06)
184;Sant'Angelo di Brolo;MESSINA;2680;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083088-(2016-06-06)
185;Tusa;MESSINA;2480;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083101-(2016-06-06)
186;San Piero Patti;MESSINA;2586;MESSINA PROVINCIA;263,86;83,66;347,52;75,93;347,52;0,0;ME;083081-(2016-06-06)
187;San Pier Niceto;MESSINA;2544;MESSINA AREA METROPOLITANA;232,1;130,6;362,7;63,99;362,7;0,0;ME;083080-(2016-06-06)
188;Letojanni;MESSINA;2928;MESSINA AREA METROPOLITANA;374,55;312,3;686,85;54,53;686,85;0,0;ME;083038-(2016-06-06)
189;Monforte San Giorgio;MESSINA;2434;MESSINA AREA METROPOLITANA;236,55;118,08;354,63;66,7;354,63;0,0;ME;083054-(2016-06-06)
190;Falcone;MESSINA;2803;MESSINA PROVINCIA;304,2;128,28;432,48;70,34;432,48;0,0;ME;083019-(2016-06-06)
191;Sinagra;MESSINA;2442;MESSINA PROVINCIA;191,97;8,27;200,24;95,87;200,24;0,0;ME;083095-(2016-06-06)
192;Galati Mamertino;MESSINA;2151;MESSINA PROVINCIA;193,86;51,38;245,24;79,05;245,24;0,0;ME;083030-(2016-06-06)
193;Alì Terme;MESSINA;2302;MESSINA AREA METROPOLITANA;282,56;81,72;364,28;77,57;364,28;0,0;ME;083003-(2016-06-06)
194;Castroreale;MESSINA;2258;MESSINA AREA METROPOLITANA;162,7;59,89;222,59;73,09;222,59;0,0;ME;083016-(1861-03-17)
195;Cesarò;MESSINA;2083;MESSINA PROVINCIA;150,15;96,14;246,29;60,97;246,29;0,0;ME;083017-(1861-03-17)
196;Merì;MESSINA;2354;MESSINA AREA METROPOLITANA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083047-(2016-06-06)
197;Montalbano Elicona;MESSINA;2117;MESSINA PROVINCIA;99,92;50,16;150,08;66,58;150,08;0,0;ME;083057-(2016-06-06)
198;Oliveri;MESSINA;2204;MESSINA PROVINCIA;378,41;82,74;461,15;82,06;461,15;0,0;ME;083063-(2016-06-06)
199;Scaletta Zanclea;MESSINA;1842;MESSINA AREA METROPOLITANA;180,71;91,06;271,77;66,49;271,77;0,0;ME;083094-(2016-06-06)
200;Rodì Milici;MESSINA;1952;MESSINA PROVINCIA;185,83;58,34;244,17;76,11;244,17;0,0;ME;083075-(2016-06-06)
201;San Marco d'Alunzio;MESSINA;1793;MESSINA PROVINCIA;169,87;51,39;221,26;76,77;221,26;0,0;ME;083079-(1948-01-01)
202;Alcara li Fusi;MESSINA;1616;MESSINA PROVINCIA;67,67;19,39;87,06;77,73;87,06;0,0;ME;083001-(2016-06-06)
203;Gualtieri Sicaminò;MESSINA;1538;MESSINA AREA METROPOLITANA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083035-(2016-06-06)
204;Savoca;MESSINA;1751;MESSINA AREA METROPOLITANA;148,67;72,8;221,47;67,13;221,47;0,0;ME;083093-(1861-03-17)
205;Librizzi;MESSINA;1547;MESSINA PROVINCIA;76,16;22,44;98,6;77,24;98,6;0,0;ME;083039-(2016-06-06)
206;Itala;MESSINA;1509;MESSINA AREA METROPOLITANA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083036-(1861-03-17)
207;Montagnareale;MESSINA;1352;MESSINA PROVINCIA;81,35;16,82;98,17;82,87;98,17;0,0;ME;083056-(2016-06-06)
208;Mazzarrà Sant'Andrea;MESSINA;1418;MESSINA PROVINCIA;79,19;19,88;99,07;79,93;99,07;0,0;ME;083046-(2016-06-06)
209;Sant'Alessio Siculo;MESSINA;1549;MESSINA AREA METROPOLITANA;186,38;148,0;334,38;55,74;334,38;0,0;ME;083085-(2016-06-06)
210;Graniti;MESSINA;1463;MESSINA PROVINCIA;97,53;45,82;143,36;68,04;143,36;0,0;ME;083034-(2016-06-06)
211;Longi;MESSINA;1273;MESSINA PROVINCIA;130,89;13,37;144,26;90,73;144,26;0,0;ME;083042-(2016-06-06)
212;Ficarra;MESSINA;1273;MESSINA PROVINCIA;103,27;23,06;126,33;81,75;126,33;0,0;ME;083020-(2016-06-06)
213;Fiumedinisi;MESSINA;1352;MESSINA AREA METROPOLITANA;81,37;37,16;118,53;68,65;118,53;0,0;ME;083021-(2016-06-06)
214;San Teodoro;MESSINA;1210;MESSINA PROVINCIA;102,07;33,64;135,71;75,21;135,71;0,0;ME;083090-(1861-03-17)
215;Novara di Sicilia;MESSINA;1074;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083062-(1948-01-01)
216;Pettineo;MESSINA;1238;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083067-(2016-06-06)
217;Valdina;MESSINA;1234;MESSINA AREA METROPOLITANA;86,55;100,26;186,81;46,33;186,81;0,0;ME;083103-(1861-03-17)
218;Militello Rosmarino;MESSINA;1178;MESSINA PROVINCIA;77,28;38,93;116,21;66,5;116,21;0,0;ME;083050-(2016-06-06)
219;Castel di Lucio;MESSINA;1400;MESSINA PROVINCIA;102,27;13,8;116,07;88,11;119,87;3,8;ME;083013-(2016-06-06)
220;San Salvatore di Fitalia;MESSINA;1112;MESSINA PROVINCIA;85,98;22,09;108,07;79,56;108,97;0,9;ME;083082-(2016-06-06)
221;Pagliara;MESSINA;1117;MESSINA AREA METROPOLITANA;86,79;27,2;113,99;76,14;113,99;0,0;ME;083065-(2016-06-06)
222;Roccavaldina;MESSINA;991;MESSINA AREA METROPOLITANA;65,85;55,14;120,99;54,42;120,99;0,0;ME;083073-(1863-05-27)
223;Castelmola;MESSINA;1073;MESSINA AREA METROPOLITANA;117,67;41,62;159,29;73,87;159,29;0,0;ME;083015-(2016-06-06)
224;Ucria;MESSINA;859;MESSINA PROVINCIA;55,49;10,97;66,46;83,49;66,46;0,0;ME;083102-(2016-06-06)
225;Raccuja;MESSINA;836;MESSINA PROVINCIA;38,52;12,81;51,33;75,05;51,33;0,0;ME;083069-(2016-06-06)
226;Fondachelli-Fantina;MESSINA;1150;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083023-(2016-06-06)
227;Santa Domenica Vittoria;MESSINA;855;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083083-(2016-06-06)
228;Mirto;MESSINA;862;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083051-(2016-06-06)
229;Malfa;MESSINA;984;ISOLE EOLIE;92,28;81,48;173,76;53,11;177,46;3,7;ME;083043-(2016-06-06)
230;Santa Marina Salina;MESSINA;852;ISOLE EOLIE;89,76;82,92;172,68;51,98;172,68;0,0;ME;083087-(2016-06-06)
231;Antillo;MESSINA;781;MESSINA AREA METROPOLITANA;61,98;10,76;72,74;85,21;72,74;0,0;ME;083004-(2016-06-06)
232;Forza d'Agrò;MESSINA;931;MESSINA AREA METROPOLITANA;128,31;44,4;172,71;74,29;172,71;0,0;ME;083024-(1948-01-01)
233;Tripi;MESSINA;717;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083100-(2016-06-06)
234;Casalvecchio Siculo;MESSINA;701;MESSINA AREA METROPOLITANA;52,71;14,88;67,59;77,98;67,89;0,3;ME;083012-(1862-12-09)
235;Limina;MESSINA;721;MESSINA AREA METROPOLITANA;25,52;19,85;45,37;56,25;45,37;0,0;ME;083040-(2016-06-06)
236;Motta Camastra;MESSINA;768;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083058-(2016-06-06)
237;Reitano;MESSINA;715;MESSINA PROVINCIA;13,68;21,82;35,5;38,54;35,5;0,0;ME;083070-(2016-06-06)
238;Alì;MESSINA;614;MESSINA AREA METROPOLITANA;35,28;16,67;51,95;67,91;51,95;0,0;ME;083002-(1861-03-17)
239;Motta d'Affermo;MESSINA;646;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083059-(2016-06-06)
240;Malvagna;MESSINA;598;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083044-(2016-06-06)
241;Frazzanò;MESSINA;536;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083026-(2016-06-06)
242;Moio Alcantara;MESSINA;687;MESSINA PROVINCIA;32,34;24,88;57,22;56,52;57,22;0,0;ME;083053-(2016-06-06)
243;Leni;MESSINA;678;ISOLE EOLIE;17,52;27,68;45,2;38,76;45,2;0,0;ME;083037-(2016-06-06)
244;Roccella Valdemone;MESSINA;538;MESSINA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;ME;083074-(2016-06-06)
245;Basicò;MESSINA;655;MESSINA PROVINCIA;36,58;43,64;80,22;45,6;80,22;0,0;ME;083006-(2016-06-06)
246;Mandanici;MESSINA;485;MESSINA AREA METROPOLITANA;49,1;12,82;61,92;79,3;61,92;0,0;ME;083045-(2016-06-06)
247;Mongiuffi Melia;MESSINA;513;MESSINA AREA METROPOLITANA;37,72;21,09;58,81;64,14;58,81;0,0;ME;083055-(1861-03-17)
248;Condrò;MESSINA;493;MESSINA AREA METROPOLITANA;34,15;22,72;56,87;60,05;56,87;0,0;ME;083018-(2016-06-06)
249;Floresta;MESSINA;460;MESSINA PROVINCIA;30,3;14,48;44,78;67,66;44,78;0,0;ME;083022-(2016-06-06)
250;Gallodoro;MESSINA;323;MESSINA AREA METROPOLITANA;32,78;14,09;46,87;69,94;46,87;0,0;ME;083031-(2016-06-06)
251;Roccafiorita;MESSINA;160;MESSINA AREA METROPOLITANA;8,37;1,21;9,58;87,37;9,58;0,0;ME;083071-(1861-03-17)
252;Palermo;PALERMO;625956;PALERMO AREA METROPOLITANA;14928,37;74877,33;89805,71;16,62;89926,44;120,74;PA;082053-(1861-03-17)
253;Bagheria;PALERMO;52904;PALERMO AREA METROPOLITANA;0,0;0,0;0,0;0,0;0,0;0,0;PA;082006-(2016-06-06)
254;Monreale;PALERMO;38690;PALERMO PROVINCIA OVEST;2480,76;1056,9;3537,66;70,12;3537,66;0,0;PA;082049-(1861-03-17)
255;Carini;PALERMO;40641;PALERMO AREA METROPOLITANA;3429,24;1209,79;4639,03;73,92;4639,03;0,0;PA;082021-(1948-01-01)
256;Partinico;PALERMO;30636;PALERMO AREA METROPOLITANA;2978,28;840,35;3818,63;77,99;3818,63;0,0;PA;082054-(1948-01-01)
257;Misilmeri;PALERMO;29032;PALERMO PROVINCIA OVEST;2961,1;792,46;3753,56;78,89;3756,32;2,76;PA;082048-(2016-06-06)
258;Termini Imerese;PALERMO;24716;PALERMO PROVINCIA EST;0,0;0,0;0,0;0,0;0,0;0,0;PA;082070-(2016-06-06)
259;Villabate;PALERMO;19435;PALERMO AREA METROPOLITANA;1672,8;857,68;2530,48;66,11;2530,48;0,0;PA;082079-(2016-06-06)
260;Cefalù;PALERMO;13840;PALERMO PROVINCIA EST;1879,8;755,55;2635,35;71,33;2635,35;0,0;PA;082027-(2016-06-06)
261;Ficarazzi;PALERMO;12802;PALERMO AREA METROPOLITANA;528,17;602,48;1130,65;46,71;1130,65;0,0;PA;082035-(2016-06-06)
262;Cinisi;PALERMO;12135;PALERMO AREA METROPOLITANA;977,03;141,45;1118,48;87,35;1123,14;4,66;PA;082031-(2016-06-06)
263;Terrasini;PALERMO;13083;PALERMO AREA METROPOLITANA;1161,46;175,42;1336,88;86,88;1336,88;0,0;PA;082071-(2016-06-06)
264;Casteldaccia;PALERMO;11703;PALERMO AREA METROPOLITANA;1152,17;619,38;1771,55;65,04;1771,55;0,0;PA;082023-(2016-06-06)
265;Capaci;PALERMO;11365;PALERMO AREA METROPOLITANA;50,28;369,25;419,53;11,98;419,53;0,0;PA;082020-(2016-06-06)
266;Belmonte Mezzagno;PALERMO;10758;PALERMO AREA METROPOLITANA;491,47;223,22;714,69;68,77;729,83;15,14;PA;082009-(2016-06-06)
267;Corleone;PALERMO;10219;PALERMO PROVINCIA OVEST;852,31;312,58;1164,89;73,17;1164,89;0,0;PA;082034-(1948-01-01)
268;Santa Flavia;PALERMO;10980;PALERMO AREA METROPOLITANA;972,26;364,26;1336,52;72,75;1336,52;0,0;PA;082067-(2016-06-06)
269;Trabia;PALERMO;10681;PALERMO PROVINCIA EST;1045,85;592,9;1638,75;63,82;1638,75;0,0;PA;082073-(2016-06-06)
270;Altofonte;PALERMO;9686;PALERMO AREA METROPOLITANA;332,82;141,35;474,17;70,19;474,17;0,0;PA;082005-(2016-06-06)
271;Castelbuono;PALERMO;7928;PALERMO PROVINCIA EST;595,27;259,76;855,03;69,62;855,03;0,0;PA;082022-(2016-06-06)
272;San Giuseppe Jato;PALERMO;7962;PALERMO PROVINCIA OVEST;832,2;57,08;889,28;93,58;889,28;0,0;PA;082064-(2016-06-06)
273;Caccamo;PALERMO;7563;PALERMO PROVINCIA EST;0,0;0,0;0,0;0,0;0,0;0,0;PA;082014-(2016-06-06)
274;Altavilla Milicia;PALERMO;8927;PALERMO PROVINCIA EST;402,2;318,02;720,22;55,84;720,22;0,0;PA;082004-(2016-06-06)
275;Campofelice di Roccella;PALERMO;7796;PALERMO PROVINCIA EST;689,07;387,85;1076,92;63,99;1102,33;25,41;PA;082017-(2016-06-06)
276;Borgetto;PALERMO;7137;PALERMO AREA METROPOLITANA;485,28;184,18;669,46;72,49;669,46;0,0;PA;082013-(2016-06-06)
277;Isola delle Femmine;PALERMO;6975;PALERMO AREA METROPOLITANA;367,1;382,14;749,24;49,0;749,24;0,0;PA;082043-(2016-06-06)
278;Gangi;PALERMO;5998;PALERMO PROVINCIA EST;316,23;120,96;437,18;72,33;437,18;0,0;PA;082036-(2016-06-06)
279;Lercara Friddi;PALERMO;6078;PALERMO PROVINCIA OVEST;546,69;207,16;753,85;72,52;753,85;0,0;PA;082045-(1948-01-01)
280;Marineo;PALERMO;5973;PALERMO PROVINCIA OVEST;631,49;112,8;744,29;84,84;744,29;0,0;PA;082046-(2016-06-06)
281;Balestrate;PALERMO;6334;PALERMO AREA METROPOLITANA;318,74;58,33;377,07;84,53;377,07;0,0;PA;082007-(1948-01-01)
282;Montelepre;PALERMO;5671;PALERMO AREA METROPOLITANA;370,99;66,01;437,0;84,89;437,12;0,12;PA;082050-(2016-06-06)
283;Piana degli Albanesi;PALERMO;5226;PALERMO PROVINCIA OVEST;354,48;77,04;431,52;82,15;431,52;0,0;PA;082057-(2016-06-06)
284;San Cipirello;PALERMO;4838;PALERMO PROVINCIA OVEST;457,93;43,26;501,19;91,37;501,19;0,0;PA;082063-(2016-06-06)
285;Cerda;PALERMO;4824;PALERMO PROVINCIA EST;397,79;136,74;534,53;74,42;534,53;0,0;PA;082028-(2016-06-06)
286;Prizzi;PALERMO;4071;PALERMO PROVINCIA OVEST;386,18;79,62;465,8;82,91;465,8;0,0;PA;082060-(2016-06-06)
287;Bisacquino;PALERMO;4000;PALERMO PROVINCIA OVEST;428,36;147,64;576,0;74,37;576,0;0,0;PA;082010-(2016-06-06)
288;Torretta;PALERMO;4433;PALERMO AREA METROPOLITANA;206,2;82,18;288,38;71,5;288,38;0,0;PA;082072-(1861-03-17)
289;Bolognetta;PALERMO;4063;PALERMO PROVINCIA OVEST;355,85;104,96;460,81;77,22;460,81;0,0;PA;082011-(2016-06-06)
290;Collesano;PALERMO;3607;PALERMO PROVINCIA EST;240,85;106,53;347,38;69,33;351,12;3,74;PA;082032-(2016-06-06)
291;Caltavuturo;PALERMO;3372;PALERMO PROVINCIA EST;193,98;142,84;336,82;57,59;336,82;0,0;PA;082015-(2016-06-06)
292;Ciminna;PALERMO;3336;PALERMO PROVINCIA EST;346,62;114,6;461,22;75,15;461,22;0,0;PA;082030-(2016-06-06)
293;Alia;PALERMO;3171;PALERMO PROVINCIA EST;237,24;108,43;345,66;68,63;345,66;0,0;PA;082001-(2016-06-06)
294;Valledolmo;PALERMO;3079;PALERMO PROVINCIA EST;274,99;85,44;360,43;76,29;360,43;0,0;PA;082076-(2016-06-06)
295;Lascari;PALERMO;3727;PALERMO PROVINCIA EST;324,78;84,95;409,73;79,27;423,98;14,26;PA;082044-(2016-06-06)
296;Polizzi Generosa;PALERMO;2796;PALERMO PROVINCIA EST;215,77;122,78;338,55;63,73;338,55;0,0;PA;082058-(2016-06-06)
297;Castellana Sicula;PALERMO;2917;PALERMO PROVINCIA EST;234,14;115,22;349,36;67,02;349,36;0,0;PA;082024-(1948-01-01)
298;Montemaggiore Belsito;PALERMO;2822;PALERMO PROVINCIA EST;224,4;102,47;326,87;68,65;333,14;6,27;PA;082051-(2016-06-06)
299;Camporeale;PALERMO;2875;PALERMO PROVINCIA OVEST;336,36;42,7;379,06;88,74;379,06;0,0;PA;082019-(2016-06-06)
300;Petralia Soprana;PALERMO;2866;PALERMO PROVINCIA EST;173,21;64,38;237,59;72,9;237,59;0,0;PA;082055-(2016-06-06)
301;Villafrati;PALERMO;3079;PALERMO PROVINCIA EST;275,97;115,92;391,89;70,42;391,89;0,0;PA;082080-(2016-06-06)
302;Trappeto;PALERMO;3127;PALERMO AREA METROPOLITANA;367,87;56,62;424,49;86,66;424,49;0,0;PA;082074-(2016-06-06)
303;Castronovo di Sicilia;PALERMO;2770;PALERMO PROVINCIA OVEST;215,43;102,58;318,01;67,74;318,01;0,0;PA;082025-(2016-06-06)
304;Pollina;PALERMO;2819;PALERMO PROVINCIA EST;215,69;81,27;296,96;72,63;296,96;0,0;PA;082059-(2016-06-06)
305;Mezzojuso;PALERMO;2531;PALERMO PROVINCIA EST;165,56;87,82;253,38;65,34;253,38;0,0;PA;082047-(2016-06-06)
306;Vicari;PALERMO;2370;PALERMO PROVINCIA OVEST;0,0;0,0;0,0;0,0;0,0;0,0;PA;082078-(1948-01-01)
307;Chiusa Sclafani;PALERMO;2434;PALERMO PROVINCIA OVEST;243,2;112,42;355,62;68,39;355,62;0,0;PA;082029-(2016-06-06)
308;Petralia Sottana;PALERMO;2382;PALERMO PROVINCIA EST;203,28;94,88;298,16;68,18;298,16;0,0;PA;082056-(1861-03-17)
309;Sciara;PALERMO;2438;PALERMO PROVINCIA EST;253,75;48,32;302,07;84,0;302,07;0,0;PA;082068-(2016-06-06)
310;Roccapalumba;PALERMO;2117;PALERMO PROVINCIA OVEST;170,38;64,08;234,46;72,67;234,46;0,0;PA;082062-(2016-06-06)
311;Giardinello;PALERMO;2230;PALERMO AREA METROPOLITANA;121,89;22,94;144,83;84,16;144,83;0,0;PA;082038-(1948-01-01)
312;Palazzo Adriano;PALERMO;1738;PALERMO PROVINCIA OVEST;75,82;46,53;122,35;61,97;122,35;0,0;PA;082052-(2016-06-06)
313;Alimena;PALERMO;1867;PALERMO PROVINCIA EST;134,8;40,82;175,61;76,76;188,33;12,72;PA;082002-(2016-06-06)
314;Baucina;PALERMO;1835;PALERMO PROVINCIA EST;192,38;66,2;258,58;74,4;258,58;0,0;PA;082008-(2016-06-06)
315;Ventimiglia di Sicilia;PALERMO;1726;PALERMO PROVINCIA EST;166,61;53,76;220,37;75,6;220,37;0,0;PA;082077-(2016-06-06)
316;Giuliana;PALERMO;1652;PALERMO PROVINCIA OVEST;121,71;34,74;156,45;77,8;156,45;0,0;PA;082039-(2016-06-06)
317;Geraci Siculo;PALERMO;1673;PALERMO PROVINCIA EST;62,08;42,75;104,82;59,22;104,82;0,0;PA;082037-(2016-06-06)
318;Contessa Entellina;PALERMO;1455;PALERMO PROVINCIA OVEST;0,0;0,0;0,0;0,0;0,0;0,0;PA;082033-(2016-06-06)
319;San Mauro Castelverde;PALERMO;1293;PALERMO PROVINCIA EST;78,71;43,2;121,91;64,56;121,91;0,0;PA;082065-(2016-06-06)
320;Isnello;PALERMO;1346;PALERMO PROVINCIA EST;79,9;37,56;117,46;68,02;117,46;0,0;PA;082042-(2016-06-06)
321;Roccamena;PALERMO;1297;PALERMO PROVINCIA OVEST;88,0;20,72;108,72;80,94;108,72;0,0;PA;082061-(1861-03-17)
322;Bompietro;PALERMO;1143;PALERMO PROVINCIA EST;79,32;44,76;124,07;63,93;124,07;0,0;PA;082012-(2016-06-06)
323;Ustica;PALERMO;1312;PALERMO AREA METROPOLITANA;130,13;18,89;149,02;87,32;150,02;1,0;PA;082075-(2016-06-06)
324;Campofiorito;PALERMO;1114;PALERMO PROVINCIA OVEST;86,32;27,72;114,04;75,69;114,04;0,0;PA;082018-(1948-01-01)
325;Aliminusa;PALERMO;1019;PALERMO PROVINCIA EST;61,43;20,63;82,06;74,86;82,06;0,0;PA;082003-(2016-06-06)
326;Godrano;PALERMO;1010;PALERMO PROVINCIA OVEST;73,92;36,38;110,3;67,02;110,3;0,0;PA;082040-(2016-06-06)
327;Cefalà Diana;PALERMO;977;PALERMO PROVINCIA EST;83,93;35,64;119,57;70,19;119,57;0,0;PA;082026-(2016-06-06)
328;Blufi;PALERMO;861;PALERMO PROVINCIA EST;72,62;49,31;121,92;59,56;121,92;0,0;PA;082082-(2016-06-06)
329;Santa Cristina Gela;PALERMO;991;PALERMO PROVINCIA OVEST;31,78;5,96;37,74;84,21;37,74;0,0;PA;082066-(2016-06-06)
330;Gratteri;PALERMO;839;PALERMO PROVINCIA EST;54,48;19,0;73,48;74,14;73,48;0,0;PA;082041-(2016-06-06)
331;Scillato;PALERMO;577;PALERMO PROVINCIA EST;44,77;22,3;67,07;66,75;67,07;0,0;PA;082081-(2016-06-06)
332;Campofelice di Fitalia;PALERMO;426;PALERMO PROVINCIA EST;27,07;10,92;37,99;71,26;37,99;0,0;PA;082016-(2016-06-06)
333;Sclafani Bagni;PALERMO;364;PALERMO PROVINCIA EST;22,11;14,97;37,08;59,63;37,08;0,0;PA;082069-(2016-06-06)
334;Ragusa;RAGUSA;73778;RAGUSA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;RG;088009-(1927-01-12)
335;Vittoria;RAGUSA;65714;RAGUSA PROVINCIA;4033,56;2248,94;6282,5;64,2;6299,8;17,3;RG;088012-(1927-01-12)
336;Modica;RAGUSA;53413;RAGUSA PROVINCIA;3649,74;2002,6;5652,34;64,57;5652,34;0,0;RG;088006-(2016-06-06)
337;Comiso;RAGUSA;30235;RAGUSA PROVINCIA;2431,49;1231,27;3662,76;66,38;3662,76;0,0;RG;088003-(1927-01-12)
338;Scicli;RAGUSA;26781;RAGUSA PROVINCIA;2524,24;650,5;3174,74;79,51;3174,74;0,0;RG;088011-(2016-06-06)
339;Pozzallo;RAGUSA;18901;RAGUSA PROVINCIA;1221,03;489,07;1710,1;71,4;1713,6;3,5;RG;088008-(2016-06-06)
340;Ispica;RAGUSA;16518;RAGUSA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;RG;088005-(2016-06-06)
341;Acate;RAGUSA;10450;RAGUSA PROVINCIA;922,75;312,21;1234,96;74,72;1235,28;0,32;RG;088001-(2016-06-06)
342;Santa Croce Camerina;RAGUSA;11414;RAGUSA PROVINCIA;1470,14;708,7;2178,84;67,47;2212,54;33,7;RG;088010-(2016-06-06)
343;Chiaramonte Gulfi;RAGUSA;8000;RAGUSA PROVINCIA;842,6;322,22;1164,82;72,34;1167,88;3,06;RG;088002-(1927-01-12)
344;Giarratana;RAGUSA;3038;RAGUSA PROVINCIA;180,98;63,78;244,76;73,94;244,76;0,0;RG;088004-(2016-06-06)
345;Monterosso Almo;RAGUSA;2734;RAGUSA PROVINCIA;209,78;53,28;263,06;79,75;263,06;0,0;RG;088007-(2016-06-06)
346;Siracusa;SIRACUSA;115636;SIRACUSA PROVINCIA;12447,3;12055,15;24502,45;50,8;24544,76;42,31;SR;089017-(1861-03-17)
347;Augusta;SIRACUSA;34623;SIRACUSA PROVINCIA;2484,9;4126,29;6611,19;37,59;6611,19;0,0;SR;089001-(2016-06-06)
348;Avola;SIRACUSA;30654;SIRACUSA PROVINCIA;2790,2;1989,4;4779,6;58,38;4779,6;0,0;SR;089002-(2016-06-06)
349;Lentini;SIRACUSA;21183;SIRACUSA PROVINCIA;1089,27;2081,73;3171,0;34,35;3171,17;0,17;SR;089011-(2016-06-06)
350;Noto;SIRACUSA;24625;SIRACUSA PROVINCIA;1682,2;1974,72;3656,92;46,0;3656,92;0,0;SR;089013-(1950-11-12)
351;Floridia;SIRACUSA;21082;SIRACUSA PROVINCIA;2490,81;879,71;3370,51;73,9;3370,51;0,0;SR;089009-(1861-03-17)
352;Pachino;SIRACUSA;22084;SIRACUSA PROVINCIA;1686,82;865,15;2551,97;66,1;2551,97;0,0;SR;089014-(1948-01-01)
353;Rosolini;SIRACUSA;20554;SIRACUSA PROVINCIA;1965,93;784,42;2750,35;71,48;2750,35;0,0;SR;089016-(2016-06-06)
354;Carlentini;SIRACUSA;16972;SIRACUSA PROVINCIA;3072,96;1286,4;4359,36;70,49;4359,36;0,0;SR;089006-(2016-06-06)
355;Melilli;SIRACUSA;13168;SIRACUSA PROVINCIA;1508,65;601,1;2109,75;71,51;2109,75;0,0;SR;089012-(2016-06-06)
356;Francofonte;SIRACUSA;11534;SIRACUSA PROVINCIA;433,82;819,64;1253,46;34,61;1253,46;0,0;SR;089010-(2016-06-06)
357;Priolo Gargallo;SIRACUSA;11115;SIRACUSA PROVINCIA;948,0;1041,1;1989,1;47,66;1989,1;0,0;SR;089021-(2016-06-06)
358;Palazzolo Acreide;SIRACUSA;7957;SIRACUSA PROVINCIA;830,15;440,54;1270,69;65,33;1346,65;75,96;SR;089015-(1948-01-01)
359;Sortino;SIRACUSA;8041;SIRACUSA PROVINCIA;997,44;197,88;1195,32;83,45;1198,62;3,3;SR;089019-(2016-06-06)
360;Solarino;SIRACUSA;7528;SIRACUSA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;SR;089018-(2016-06-06)
361;Canicattini Bagni;SIRACUSA;6467;SIRACUSA PROVINCIA;514,88;195,02;709,9;72,53;709,9;0,0;SR;089005-(2016-06-06)
362;Portopalo di Capo Passero;SIRACUSA;3859;SIRACUSA PROVINCIA;0,0;0,0;0,0;0,0;0,0;0,0;SR;089020-(2016-06-06)
363;Ferla;SIRACUSA;2236;SIRACUSA PROVINCIA;248,56;73,66;322,22;77,14;322,3;0,08;SR;089008-(2016-06-06)
364;Buccheri;SIRACUSA;1708;SIRACUSA PROVINCIA;177,81;68,86;246,67;72,08;246,67;0,0;SR;089003-(2016-06-06)
365;Buscemi;SIRACUSA;935;SIRACUSA PROVINCIA;80,0;34,88;114,88;69,64;114,88;0,0;SR;089004-(2016-06-06)
366;Cassaro;SIRACUSA;729;SIRACUSA PROVINCIA;47,9;18,32;66,22;72,33;66,22;0,0;SR;089007-(2016-06-06)
367;Marsala;TRAPANI;79693;TRAPANI PROVINCIA NORD;8142,42;2421,11;10563,53;77,08;10563,53;0,0;TP;081011-(2016-06-06)
368;Trapani;TRAPANI;54887;TRAPANI PROVINCIA NORD;6834,46;3475,12;10309,58;66,29;10345,08;35,5;TP;081021-(1861-03-17)
