n;comune;provincia;popolazione;s_r_r_di_competenza;r_i_ton;r_d_ton;r_t_ton;r_d;r_c_ton;extra_d_m_2016_ton;sigla_automobilistica;id_comune
39;Villafranca Sicula;AGRIGENTO;1315;AGRIGENTO PROVINCIA OVEST;220,03;40,24;260,27;84,54;260,27;0,0;AG;084043-(2016-06-06)
40;Sant'Angelo Muxaro;AGRIGENTO;1153;AGRIGENTO PROVINCIA EST;77,01;37,62;114,63;67,18;114,63;0,0;AG;084039-(2016-06-06)
41;Calamonaci;AGRIGENTO;1120;AGRIGENTO PROVINCIA OVEST;197,14;37,7;234,84;83,95;234,84;0,0;AG;084006-(2016-06-06)
42;Joppolo Giancaxio;AGRIGENTO;1062;AGRIGENTO PROVINCIA EST;109,51;41,96;151,47;72,3;151,47;0,0;AG;084019-(2016-06-06)
43;Comitini;AGRIGENTO;871;AGRIGENTO PROVINCIA EST;83,3;40,56;123,86;67,25;123,86;0,0;AG;084016-(2016-06-06)
44;Gela;CALTANISSETTA;70341;CALTANISSETTA PROVINCIA SUD;4550,12;2499,76;7049,88;64,54;7064,32;14,44;CL;085007-(2016-06-06)
45;Caltanissetta;CALTANISSETTA;58045;CALTANISSETTA PROVINCIA NORD;5740,15;3560,78;9300,93;61,72;9300,93;0,0;CL;085004-(2016-06-06)
46;Niscemi;CALTANISSETTA;24669;CALTANISSETTA PROVINCIA SUD;1769,78;1007,99;2777,77;63,71;2777,77;0,0;CL;085013-(2016-06-06)
47;San Cataldo;CALTANISSETTA;20453;CALTANISSETTA PROVINCIA NORD;1566,52;686,66;2253,18;69,52;2253,18;0,0;CL;085016-(2016-06-06)
48;Mazzarino;CALTANISSETTA;10676;CALTANISSETTA PROVINCIA SUD;513,71;0,0;513,71;100,0;513,71;0,0;CL;085009-(2016-06-06)
49;Riesi;CALTANISSETTA;10234;CALTANISSETTA PROVINCIA SUD;459,44;371,9;831,34;55,26;831,34;0,0;CL;085015-(2016-06-06)
50;Mussomeli;CALTANISSETTA;9822;CALTANISSETTA PROVINCIA NORD;863,95;378,6;1242,55;69,53;1242,55;0,0;CL;085012-(2016-06-06)
51;Sommatino;CALTANISSETTA;6275;CALTANISSETTA PROVINCIA SUD;0,0;0,0;0,0;0,0;0,0;0,0;CL;085019-(2016-06-06)
52;Serradifalco;CALTANISSETTA;5383;CALTANISSETTA PROVINCIA NORD;379,56;124,62;504,18;75,28;504,18;0,0;CL;085018-(2016-06-06)
53;Santa Caterina Villarmosa;CALTANISSETTA;4518;CALTANISSETTA PROVINCIA NORD;341,07;135,34;476,41;71,59;476,41;0,0;CL;085017-(2016-06-06)
54;Butera;CALTANISSETTA;4081;CALTANISSETTA PROVINCIA SUD;436,14;101,77;537,91;81,08;537,91;0,0;CL;085003-(2016-06-06)
55;Delia;CALTANISSETTA;3850;CALTANISSETTA PROVINCIA SUD;385,69;135,94;521,63;73,94;521,63;0,0;CL;085006-(2016-06-06)
56;Vallelunga Pratameno;CALTANISSETTA;3023;CALTANISSETTA PROVINCIA NORD;219,78;88,92;308,7;71,2;308,7;0,0;CL;085021-(2016-06-06)
57;Campofranco;CALTANISSETTA;2550;CALTANISSETTA PROVINCIA NORD;179,78;67,4;247,18;72,73;247,18;0,0;CL;085005-(2016-06-06)
58;Milena;CALTANISSETTA;2614;CALTANISSETTA PROVINCIA NORD;242,53;81,14;323,67;74,93;323,67;0,0;CL;085010-(2016-06-06)
59;Resuttano;CALTANISSETTA;1704;CALTANISSETTA PROVINCIA NORD;114,63;44,74;159,37;71,93;159,37;0,0;CL;085014-(2016-06-06)
60;Marianopoli;CALTANISSETTA;1532;CALTANISSETTA PROVINCIA NORD;124,02;25,94;149,96;82,7;149,96;0,0;CL;085008-(2016-06-06)
61;Villalba;CALTANISSETTA;1373;CALTANISSETTA PROVINCIA NORD;119,4;75,58;194,98;61,24;194,98;0,0;CL;085022-(1948-01-01)
62;Montedoro;CALTANISSETTA;1327;CALTANISSETTA PROVINCIA NORD;127,8;35,14;162,94;78,43;162,94;0,0;CL;085011-(1861-03-17)
63;Sutera;CALTANISSETTA;1140;CALTANISSETTA PROVINCIA NORD;120,15;32,32;152,47;78,8;152,47;0,0;CL;085020-(2016-06-06)
64;Acquaviva Platani;CALTANISSETTA;834;CALTANISSETTA PROVINCIA NORD;118,39;55,22;173,61;68,19;173,61;0,0;CL;085001-(2016-06-06)
65;Bompensiere;CALTANISSETTA;469;CALTANISSETTA PROVINCIA NORD;37,54;22,68;60,22;62,34;60,22;0,0;CL;085002-(1861-03-17)
66;Catania;CATANIA;297517;CATANIA AREA METROPOLITANA;13782,56;29003,62;42786,18;32,21;42790,96;4,78;CT;087015-(1861-03-17)
67;Acireale;CATANIA;50579;CATANIA PROVINCIA NORD;5711,59;4391,5;10103,09;56,53;10103,57;0,48;CT;087004-(2016-06-06)
68;Misterbianco;CATANIA;48612;CATANIA AREA METROPOLITANA;6100,46;3835,27;9935,73;61,4;9952,41;16,68;CT;087029-(2016-06-06)
69;Paternò;CATANIA;44677;CATANIA AREA METROPOLITANA;1962,9;949,09;2911,99;67,41;2913,89;1,9;CT;087033-(1948-01-01)
70;Caltagirone;CATANIA;35439;CATANIA PROVINCIA SUD;3642,18;1989,6;5631,78;64,67;5631,93;0,16;CT;087011-(1861-03-17)
71;Adrano;CATANIA;33610;CATANIA PROVINCIA NORD;3173,9;1190,0;4363,9;72,73;4363,9;0,0;CT;087006-(2016-06-06)
72;Mascalucia;CATANIA;32040;CATANIA AREA METROPOLITANA;5192,05;1105,64;6297,69;82,44;6874,23;576,54;CT;087024-(2016-06-06)
73;Aci Catena;CATANIA;27505;CATANIA AREA METROPOLITANA;2314,48;1914,29;4228,77;54,73;4228,77;0,0;CT;087003-(2016-06-06)
74;Belpasso;CATANIA;28197;CATANIA AREA METROPOLITANA;1798,8;783,23;2582,03;69,67;2587,07;5,04;CT;087007-(2016-06-06)
75;Giarre;CATANIA;26536;CATANIA PROVINCIA NORD;0,0;0,0;0,0;0,0;0,0;0,0;CT;087017-(1861-03-17)
76;Gravina di Catania;CATANIA;25271;CATANIA AREA METROPOLITANA;1603,29;947,6;2550,88;62,85;2555,12;4,24;CT;087019-(2016-06-06)
77;Biancavilla;CATANIA;22880;CATANIA AREA METROPOLITANA;2257,53;767,96;3025,49;74,62;3025,49;0,0;CT;087008-(2016-06-06)
78;San Giovanni la Punta;CATANIA;24215;CATANIA AREA METROPOLITANA;889,58;868,27;1757,85;50,61;1757,85;0,0;CT;087041-(2016-06-06)
79;Tremestieri Etneo;CATANIA;19234;CATANIA AREA METROPOLITANA;1341,68;463,92;1805,6;74,31;1805,6;0,0;CT;087051-(2016-06-06)
80;Bronte;CATANIA;18179;CATANIA PROVINCIA NORD;1687,37;1041,76;2729,13;61,83;2729,13;0,0;CT;087009-(1948-01-01)
81;Aci Castello;CATANIA;17691;CATANIA AREA METROPOLITANA;2233,59;943,12;3176,71;70,31;3177,98;1,27;CT;087002-(2016-06-06)
82;Aci Sant'Antonio;CATANIA;18025;CATANIA AREA METROPOLITANA;1232,67;698,97;1931,64;63,81;1931,64;0,0;CT;087005-(2016-06-06)
83;Scordia;CATANIA;15999;CATANIA PROVINCIA SUD;1798,21;651,22;2449,43;73,41;2449,46;0,03;CT;087049-(2016-06-06)
84;Palagonia;CATANIA;15506;CATANIA PROVINCIA SUD;1474,65;616,76;2091,41;70,51;2091,43;0,02;CT;087032-(2016-06-06)
85;Riposto;CATANIA;13911;CATANIA PROVINCIA NORD;0,0;0,0;0,0;0,0;0,0;0,0;CT;087039-(1861-03-17)
86;Mascali;CATANIA;14390;CATANIA PROVINCIA NORD;1025,82;405,24;1431,06;71,68;1431,06;0,0;CT;087023-(2016-06-06)
87;Pedara;CATANIA;15401;CATANIA AREA METROPOLITANA;1322,46;228,6;1551,07;85,26;1551,07;0,0;CT;087034-(2016-06-06)
88;Grammichele;CATANIA;12292;CATANIA PROVINCIA SUD;1509,32;427,38;1936,7;77,93;1936,79;0,09;CT;087018-(2016-06-06)
