"Osservatorio: Pensioni vigenti - Serie storica"
"Filtri:"
"Tipo gestione:Pensioni ai lavoratori dipendenti privati";"Tipo gestione:Pensioni ai lavoratori dipendenti pubblici";"Tipo gestione:Pensioni ai lavoratori autonomi e parasubordinati";"Tipo gestione:Prestazioni assistenziali"

"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
"BIELLA";"";"71.244 ";"590,49 ";"71.341 ";"607,06 ";"71.112 ";"623,13 ";"74.149 ";"643,84 ";"79.136 ";"651,30 ";"78.853 ";"672,41 ";"79.393 ";"709,37 ";"79.601 ";"730,99 ";"79.324 ";"746,77 ";"79.636 ";"769,25 ";"79.678 ";"785,22 ";"79.832 ";"819,33 ";"79.448 ";"827,43 ";"79.908 ";"845,07 ";"84.636 ";"911,17 ";"83.780 ";"933,82 ";"82.834 ";"952,62 ";"81.035 ";"962,25 ";"80.905 ";"980,84 ";"79.790 ";"991,68 ";"79.063 ";"1.016,30 ";"78.314 ";"1.040,48 ";"78.169 ";"1.060,03 ";"76.927 ";"1.087,58 ";"76.429 ";"1.118,98 ";"75.760 ";"1.191,30 ";"75.108 ";"1.283,25 ";"75.033 ";"1.297,87 ";"74.145 ";"1.323,20 "
"CUNEO";"";"192.332 ";"479,74 ";"191.013 ";"496,39 ";"189.579 ";"514,08 ";"187.531 ";"533,77 ";"201.810 ";"552,31 ";"201.678 ";"572,20 ";"203.224 ";"605,26 ";"204.062 ";"626,92 ";"203.882 ";"644,47 ";"205.257 ";"667,15 ";"205.906 ";"686,31 ";"205.861 ";"722,82 ";"204.739 ";"736,48 ";"204.444 ";"757,99 ";"226.171 ";"874,94 ";"225.090 ";"897,29 ";"223.089 ";"916,11 ";"219.033 ";"930,07 ";"217.368 ";"953,99 ";"215.566 ";"968,22 ";"214.313 ";"996,64 ";"213.590 ";"1.025,07 ";"213.192 ";"1.048,64 ";"211.880 ";"1.074,39 ";"211.546 ";"1.106,60 ";"211.681 ";"1.173,05 ";"211.906 ";"1.263,86 ";"211.884 ";"1.283,09 ";"211.406 ";"1.309,14 "
"NOVARA";"";"124.137 ";"598,41 ";"123.008 ";"618,71 ";"122.732 ";"637,41 ";"121.418 ";"668,76 ";"130.335 ";"676,54 ";"130.566 ";"699,46 ";"131.775 ";"740,88 ";"132.539 ";"765,19 ";"132.750 ";"783,94 ";"134.050 ";"806,04 ";"134.794 ";"824,35 ";"135.604 ";"863,28 ";"134.788 ";"873,38 ";"135.296 ";"893,95 ";"149.447 ";"998,16 ";"147.443 ";"1.014,94 ";"145.821 ";"1.024,01 ";"143.187 ";"1.031,57 ";"138.173 ";"1.073,67 ";"136.676 ";"1.086,30 ";"135.020 ";"1.114,85 ";"133.788 ";"1.142,78 ";"133.920 ";"1.161,22 ";"132.790 ";"1.187,17 ";"132.422 ";"1.221,80 ";"132.058 ";"1.287,49 ";"131.710 ";"1.389,84 ";"131.542 ";"1.408,21 ";"130.994 ";"1.433,70 "
"VERBANIA";"";"46.459 ";"570,67 ";"46.810 ";"584,56 ";"46.520 ";"599,39 ";"47.147 ";"599,48 ";"52.232 ";"600,97 ";"52.567 ";"619,61 ";"53.336 ";"652,25 ";"53.819 ";"671,49 ";"53.927 ";"686,89 ";"54.305 ";"706,85 ";"54.398 ";"721,40 ";"54.753 ";"749,70 ";"54.343 ";"759,44 ";"54.299 ";"774,98 ";"59.050 ";"873,16 ";"58.706 ";"891,31 ";"58.361 ";"904,79 ";"57.989 ";"912,92 ";"58.042 ";"927,07 ";"57.605 ";"935,04 ";"57.449 ";"955,99 ";"57.448 ";"980,40 ";"57.873 ";"995,64 ";"57.776 ";"1.014,06 ";"57.652 ";"1.040,12 ";"57.341 ";"1.101,72 ";"57.415 ";"1.181,19 ";"57.390 ";"1.193,40 ";"56.898 ";"1.217,04 "
"VERCELLI";"";"75.923 ";"546,86 ";"74.799 ";"561,70 ";"73.622 ";"575,67 ";"68.785 ";"591,09 ";"73.255 ";"599,31 ";"72.391 ";"621,27 ";"72.454 ";"652,32 ";"72.640 ";"673,90 ";"72.484 ";"691,13 ";"72.653 ";"714,40 ";"72.388 ";"732,82 ";"71.922 ";"768,70 ";"71.414 ";"779,01 ";"70.863 ";"800,65 ";"78.426 ";"914,91 ";"77.865 ";"935,15 ";"76.673 ";"954,33 ";"74.702 ";"966,87 ";"74.503 ";"984,50 ";"73.596 ";"1.000,17 ";"72.981 ";"1.041,24 ";"72.335 ";"1.070,71 ";"72.075 ";"1.089,69 ";"70.450 ";"1.116,87 ";"69.394 ";"1.148,08 ";"69.190 ";"1.209,34 ";"68.807 ";"1.300,02 ";"68.193 ";"1.321,67 ";"67.262 ";"1.349,17 "
"AOSTA";"";"36.500 ";"544,37 ";"36.393 ";"556,38 ";"36.344 ";"570,03 ";"35.917 ";"587,53 ";"35.784 ";"615,15 ";"35.649 ";"637,48 ";"35.888 ";"674,80 ";"36.121 ";"701,13 ";"36.346 ";"718,76 ";"36.626 ";"741,39 ";"36.602 ";"761,71 ";"36.478 ";"799,32 ";"36.161 ";"814,00 ";"36.061 ";"833,22 ";"42.182 ";"977,82 ";"41.865 ";"1.001,96 ";"41.496 ";"1.023,38 ";"41.131 ";"1.034,48 ";"41.122 ";"1.057,74 ";"40.805 ";"1.074,46 ";"40.588 ";"1.103,45 ";"40.485 ";"1.140,44 ";"40.990 ";"1.184,89 ";"40.838 ";"1.209,49 ";"40.872 ";"1.245,73 ";"40.743 ";"1.353,99 ";"40.655 ";"1.431,06 ";"40.800 ";"1.448,08 ";"40.741 ";"1.478,90 "
"MILANO";"";"1.054.939 ";"693,35 ";"1.057.328 ";"717,24 ";"1.056.951 ";"739,28 ";"1.057.130 ";"766,23 ";"1.125.027 ";"774,01 ";"1.143.208 ";"798,86 ";"1.184.114 ";"874,46 ";"1.205.496 ";"898,75 ";"1.212.989 ";"919,31 ";"1.231.111 ";"945,82 ";"1.242.904 ";"963,74 ";"1.257.547 ";"1.007,01 ";"1.260.281 ";"1.018,37 ";"1.003.359 ";"1.064,44 ";"1.132.135 ";"1.157,00 ";"1.132.590 ";"1.173,50 ";"1.127.470 ";"1.190,88 ";"1.123.982 ";"1.206,52 ";"1.130.878 ";"1.218,91 ";"1.125.882 ";"1.229,69 ";"1.120.147 ";"1.257,17 ";"1.117.346 ";"1.285,83 ";"1.120.917 ";"1.306,67 ";"1.107.273 ";"1.331,31 ";"1.106.126 ";"1.363,63 ";"1.107.181 ";"1.440,05 ";"1.106.797 ";"1.529,96 ";"1.102.539 ";"1.542,62 ";"1.094.279 ";"1.562,77 "
"LODI";"";"57.070 ";"602,59 ";"57.092 ";"622,02 ";"54.364 ";"643,36 ";"54.461 ";"667,49 ";"60.561 ";"672,05 ";"61.079 ";"698,06 ";"62.504 ";"739,03 ";"63.384 ";"766,62 ";"64.150 ";"784,30 ";"65.284 ";"810,28 ";"65.808 ";"829,71 ";"66.908 ";"870,01 ";"67.352 ";"879,54 ";"67.601 ";"904,64 ";"74.371 ";"993,71 ";"74.379 ";"1.013,52 ";"74.365 ";"1.029,92 ";"73.711 ";"1.041,99 ";"74.211 ";"1.059,88 ";"74.570 ";"1.068,50 ";"74.572 ";"1.096,34 ";"74.603 ";"1.124,32 ";"75.032 ";"1.145,48 ";"74.027 ";"1.174,31 ";"74.321 ";"1.209,58 ";"74.450 ";"1.278,31 ";"75.190 ";"1.372,77 ";"75.880 ";"1.386,82 ";"76.000 ";"1.411,88 "
"BERGAMO";"";"256.703 ";"578,35 ";"259.148 ";"595,97 ";"254.731 ";"612,12 ";"255.478 ";"632,29 ";"279.250 ";"638,36 ";"284.648 ";"662,10 ";"290.685 ";"705,10 ";"298.607 ";"724,17 ";"305.543 ";"731,81 ";"314.222 ";"748,43 ";"322.038 ";"758,03 ";"328.807 ";"791,23 ";"331.606 ";"799,47 ";"336.981 ";"819,44 ";"369.729 ";"899,82 ";"372.889 ";"931,53 ";"373.565 ";"932,75 ";"373.289 ";"939,13 ";"377.129 ";"957,29 ";"378.561 ";"968,31 ";"378.534 ";"997,15 ";"381.158 ";"1.024,84 ";"386.745 ";"1.041,73 ";"384.311 ";"1.065,70 ";"391.758 ";"1.090,68 ";"396.614 ";"1.150,79 ";"401.981 ";"1.237,06 ";"407.899 ";"1.250,94 ";"412.093 ";"1.273,63 "
"BRESCIA";"";"283.253 ";"541,58 ";"285.106 ";"558,83 ";"284.722 ";"575,97 ";"285.416 ";"596,07 ";"314.654 ";"603,39 ";"320.627 ";"623,46 ";"327.929 ";"659,12 ";"333.478 ";"682,44 ";"337.002 ";"698,37 ";"342.367 ";"720,70 ";"346.699 ";"736,96 ";"350.041 ";"775,57 ";"349.787 ";"788,44 ";"351.225 ";"813,23 ";"388.252 ";"918,32 ";"388.684 ";"939,28 ";"387.742 ";"955,40 ";"385.961 ";"962,90 ";"390.840 ";"980,23 ";"391.233 ";"993,76 ";"391.184 ";"1.022,97 ";"391.238 ";"1.053,38 ";"392.588 ";"1.076,36 ";"389.459 ";"1.102,75 ";"393.287 ";"1.130,12 ";"396.554 ";"1.194,32 ";"399.494 ";"1.286,12 ";"404.165 ";"1.300,42 ";"404.233 ";"1.329,33 "
"COMO";"";"155.953 ";"565,77 ";"156.618 ";"583,67 ";"156.672 ";"601,46 ";"156.379 ";"622,49 ";"169.094 ";"630,30 ";"171.170 ";"651,72 ";"174.173 ";"697,43 ";"177.333 ";"719,34 ";"179.546 ";"735,19 ";"183.287 ";"756,83 ";"185.586 ";"771,63 ";"188.150 ";"808,77 ";"189.006 ";"818,46 ";"190.597 ";"841,36 ";"207.398 ";"928,03 ";"208.079 ";"947,01 ";"207.168 ";"964,44 ";"206.047 ";"973,76 ";"206.776 ";"993,02 ";"206.703 ";"1.004,38 ";"205.994 ";"1.032,32 ";"206.776 ";"1.058,87 ";"207.594 ";"1.080,19 ";"207.270 ";"1.105,15 ";"207.655 ";"1.137,24 ";"208.811 ";"1.199,11 ";"210.157 ";"1.288,88 ";"211.405 ";"1.306,47 ";"212.570 ";"1.330,56 "
"LECCO";"";"83.585 ";"615,14 ";"83.695 ";"636,07 ";"89.399 ";"654,65 ";"89.607 ";"674,87 ";"97.659 ";"679,67 ";"98.897 ";"705,01 ";"101.725 ";"753,46 ";"103.817 ";"778,63 ";"104.990 ";"794,51 ";"107.491 ";"815,48 ";"108.477 ";"832,26 ";"110.132 ";"873,61 ";"110.362 ";"885,95 ";"111.539 ";"909,26 ";"121.864 ";"984,78 ";"122.315 ";"1.004,09 ";"121.960 ";"1.022,62 ";"120.861 ";"1.032,73 ";"121.678 ";"1.053,84 ";"121.584 ";"1.068,18 ";"121.716 ";"1.097,08 ";"122.204 ";"1.126,97 ";"122.742 ";"1.148,29 ";"121.954 ";"1.175,66 ";"122.959 ";"1.208,41 ";"124.010 ";"1.270,68 ";"124.781 ";"1.370,71 ";"125.824 ";"1.388,00 ";"126.100 ";"1.414,22 "
"CREMONA";"";"106.342 ";"554,49 ";"106.162 ";"572,48 ";"105.640 ";"589,55 ";"105.272 ";"609,75 ";"118.447 ";"609,96 ";"118.524 ";"633,00 ";"118.819 ";"669,56 ";"120.000 ";"692,10 ";"120.229 ";"710,35 ";"121.925 ";"732,10 ";"122.854 ";"749,37 ";"123.913 ";"787,11 ";"123.400 ";"800,61 ";"123.779 ";"822,51 ";"139.353 ";"931,91 ";"138.848 ";"952,26 ";"137.704 ";"971,09 ";"136.762 ";"978,96 ";"136.692 ";"999,21 ";"136.172 ";"1.011,12 ";"135.225 ";"1.039,86 ";"135.004 ";"1.068,97 ";"134.961 ";"1.090,65 ";"131.477 ";"1.122,35 ";"132.374 ";"1.152,25 ";"132.248 ";"1.221,24 ";"132.456 ";"1.314,75 ";"132.774 ";"1.332,59 ";"132.704 ";"1.356,74 "
"MANTOVA";"";"126.622 ";"494,04 ";"125.845 ";"511,82 ";"125.027 ";"528,00 ";"123.883 ";"547,94 ";"136.650 ";"557,58 ";"136.300 ";"580,10 ";"137.342 ";"610,09 ";"138.642 ";"630,26 ";"138.700 ";"647,54 ";"140.890 ";"666,94 ";"142.174 ";"683,84 ";"141.533 ";"720,69 ";"141.309 ";"732,56 ";"141.162 ";"753,55 ";"156.804 ";"864,56 ";"156.156 ";"885,11 ";"154.557 ";"903,59 ";"153.147 ";"912,40 ";"153.595 ";"930,21 ";"152.663 ";"942,74 ";"151.333 ";"971,20 ";"150.530 ";"998,36 ";"150.450 ";"1.019,52 ";"148.457 ";"1.048,19 ";"148.164 ";"1.077,16 ";"148.619 ";"1.140,76 ";"148.708 ";"1.227,56 ";"149.358 ";"1.243,87 ";"149.594 ";"1.267,01 "
"PAVIA";"";"183.255 ";"522,08 ";"182.156 ";"538,87 ";"179.728 ";"555,93 ";"177.913 ";"575,53 ";"193.963 ";"582,82 ";"193.697 ";"602,72 ";"195.749 ";"635,23 ";"198.492 ";"654,97 ";"198.757 ";"671,19 ";"200.338 ";"692,54 ";"200.584 ";"710,12 ";"200.412 ";"744,20 ";"199.307 ";"755,66 ";"198.131 ";"777,17 ";"223.148 ";"904,40 ";"221.513 ";"925,08 ";"218.844 ";"943,86 ";"216.923 ";"953,29 ";"216.688 ";"971,19 ";"215.426 ";"983,06 ";"212.768 ";"1.010,91 ";"211.225 ";"1.038,45 ";"210.741 ";"1.060,95 ";"207.384 ";"1.089,52 ";"206.929 ";"1.121,33 ";"205.530 ";"1.185,91 ";"204.639 ";"1.275,75 ";"204.825 ";"1.291,18 ";"204.004 ";"1.316,06 "
"SONDRIO";"";"49.539 ";"467,70 ";"49.575 ";"481,63 ";"49.621 ";"497,24 ";"49.654 ";"514,80 ";"55.991 ";"520,97 ";"56.097 ";"540,53 ";"56.602 ";"565,03 ";"57.207 ";"582,99 ";"57.671 ";"596,08 ";"58.360 ";"614,38 ";"58.845 ";"628,05 ";"59.549 ";"657,69 ";"60.154 ";"664,89 ";"60.797 ";"681,00 ";"71.089 ";"820,23 ";"71.354 ";"835,66 ";"71.285 ";"848,63 ";"70.536 ";"857,91 ";"70.696 ";"875,37 ";"69.866 ";"889,70 ";"69.303 ";"916,42 ";"69.214 ";"947,04 ";"68.967 ";"967,55 ";"68.203 ";"996,32 ";"67.596 ";"1.027,53 ";"67.163 ";"1.093,16 ";"67.212 ";"1.177,58 ";"66.320 ";"1.202,05 ";"65.606 ";"1.238,22 "
"VARESE";"";"245.109 ";"614,48 ";"246.129 ";"632,76 ";"245.827 ";"651,26 ";"245.431 ";"673,13 ";"266.813 ";"676,65 ";"269.466 ";"697,94 ";"274.486 ";"749,07 ";"279.256 ";"772,25 ";"281.378 ";"787,87 ";"285.277 ";"810,28 ";"287.722 ";"825,69 ";"290.860 ";"866,47 ";"292.477 ";"874,94 ";"293.530 ";"899,01 ";"318.194 ";"980,71 ";"318.708 ";"998,32 ";"316.781 ";"1.016,44 ";"314.909 ";"1.023,61 ";"316.513 ";"1.038,12 ";"316.367 ";"1.048,99 ";"315.703 ";"1.075,11 ";"315.323 ";"1.101,87 ";"317.033 ";"1.119,13 ";"315.376 ";"1.143,37 ";"314.399 ";"1.173,84 ";"315.038 ";"1.236,33 ";"316.739 ";"1.327,87 ";"317.125 ";"1.344,68 ";"317.501 ";"1.367,96 "
"GENOVA";"";"296.649 ";"626,55 ";"294.856 ";"643,99 ";"291.271 ";"661,37 ";"289.719 ";"686,08 ";"314.344 ";"688,82 ";"316.104 ";"712,67 ";"319.532 ";"767,70 ";"322.950 ";"786,44 ";"325.211 ";"801,67 ";"327.859 ";"818,49 ";"327.874 ";"834,10 ";"326.975 ";"868,13 ";"324.531 ";"878,41 ";"322.593 ";"894,24 ";"374.967 ";"1.042,90 ";"370.966 ";"1.058,74 ";"365.602 ";"1.074,61 ";"360.823 ";"1.080,43 ";"359.792 ";"1.096,47 ";"356.692 ";"1.104,59 ";"352.123 ";"1.129,72 ";"347.343 ";"1.157,29 ";"346.629 ";"1.175,48 ";"340.535 ";"1.199,56 ";"335.129 ";"1.235,29 ";"330.276 ";"1.298,50 ";"329.148 ";"1.393,17 ";"329.595 ";"1.404,22 ";"329.559 ";"1.421,76 "
"IMPERIA";"";"71.722 ";"420,40 ";"71.323 ";"433,06 ";"70.508 ";"445,83 ";"70.233 ";"462,14 ";"76.624 ";"476,65 ";"76.425 ";"492,49 ";"77.263 ";"518,08 ";"78.064 ";"533,37 ";"79.123 ";"547,62 ";"79.849 ";"562,67 ";"80.399 ";"574,94 ";"80.555 ";"599,56 ";"80.610 ";"607,88 ";"79.842 ";"622,28 ";"90.953 ";"787,73 ";"89.599 ";"806,92 ";"88.529 ";"823,16 ";"87.318 ";"830,65 ";"87.470 ";"844,43 ";"86.597 ";"854,18 ";"85.142 ";"876,28 ";"83.887 ";"899,35 ";"84.331 ";"924,77 ";"83.430 ";"944,95 ";"83.114 ";"970,01 ";"82.119 ";"1.023,26 ";"82.123 ";"1.097,15 ";"82.919 ";"1.103,55 ";"82.954 ";"1.121,44 "
"LA SPEZIA";"";"72.777 ";"516,19 ";"72.075 ";"531,65 ";"71.281 ";"546,64 ";"70.703 ";"567,81 ";"79.136 ";"572,84 ";"79.152 ";"593,00 ";"79.085 ";"624,93 ";"79.180 ";"641,57 ";"79.572 ";"655,47 ";"80.030 ";"672,29 ";"80.155 ";"686,96 ";"80.125 ";"716,12 ";"79.165 ";"727,61 ";"78.151 ";"745,54 ";"96.211 ";"963,48 ";"94.811 ";"982,55 ";"93.523 ";"1.001,43 ";"91.958 ";"1.012,70 ";"91.016 ";"1.033,31 ";"89.808 ";"1.046,28 ";"88.049 ";"1.072,81 ";"86.799 ";"1.101,75 ";"86.347 ";"1.123,51 ";"84.869 ";"1.149,29 ";"84.105 ";"1.186,47 ";"83.205 ";"1.248,16 ";"83.026 ";"1.348,35 ";"83.706 ";"1.359,88 ";"83.525 ";"1.378,00 "
"SAVONA";"";"95.744 ";"551,00 ";"95.180 ";"567,44 ";"94.660 ";"582,84 ";"94.163 ";"603,94 ";"103.359 ";"610,29 ";"103.144 ";"629,80 ";"103.349 ";"667,80 ";"103.386 ";"688,51 ";"103.784 ";"703,42 ";"104.462 ";"720,61 ";"104.601 ";"735,48 ";"104.516 ";"766,88 ";"103.962 ";"775,38 ";"104.047 ";"788,67 ";"121.065 ";"931,71 ";"119.683 ";"951,43 ";"118.255 ";"967,99 ";"116.779 ";"974,77 ";"116.847 ";"987,45 ";"115.675 ";"997,44 ";"113.792 ";"1.024,72 ";"112.388 ";"1.051,22 ";"112.813 ";"1.066,97 ";"110.704 ";"1.092,14 ";"110.298 ";"1.118,83 ";"108.250 ";"1.180,39 ";"107.321 ";"1.272,40 ";"107.367 ";"1.284,32 ";"106.453 ";"1.309,85 "
"BOLZANO";"";"116.176 ";"461,56 ";"116.476 ";"477,74 ";"116.530 ";"493,69 ";"116.720 ";"514,00 ";"116.857 ";"546,30 ";"118.496 ";"567,41 ";"120.177 ";"600,43 ";"121.345 ";"621,85 ";"122.339 ";"639,89 ";"124.049 ";"660,95 ";"126.041 ";"676,22 ";"127.615 ";"710,16 ";"128.219 ";"722,99 ";"129.177 ";"742,97 ";"153.968 ";"944,54 ";"153.709 ";"966,76 ";"153.865 ";"987,60 ";"153.277 ";"997,46 ";"154.759 ";"1.022,70 ";"154.533 ";"1.044,16 ";"155.213 ";"1.078,70 ";"155.788 ";"1.119,51 ";"157.067 ";"1.145,76 ";"158.276 ";"1.171,65 ";"159.065 ";"1.213,84 ";"160.641 ";"1.284,57 ";"162.752 ";"1.393,51 ";"165.600 ";"1.413,92 ";"167.080 ";"1.447,79 "
