"Osservatorio: Pensioni vigenti - Pensioni per anno di decorrenza"
"Filtri:"
"Anno:2026";"Tipo gestione:Pensioni ai lavoratori dipendenti pubblici";"Categoria:Vecchiaia"

"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
"2014";"";"50.536 ";"62,39 ";"2.881,23 ";"2.875,50 ";"50.536 ";"62,39 ";"2.881,23 ";"2.875,50 "
"2015";"";"78.195 ";"61,94 ";"2.832,63 ";"2.831,64 ";"78.195 ";"61,94 ";"2.832,63 ";"2.831,64 "
"2016";"";"62.742 ";"62,03 ";"2.986,39 ";"2.985,70 ";"62.742 ";"62,03 ";"2.986,39 ";"2.985,70 "
"2017";"";"73.963 ";"62,93 ";"2.951,76 ";"2.951,31 ";"73.963 ";"62,93 ";"2.951,76 ";"2.951,31 "
"2018";"";"103.421 ";"63,58 ";"2.871,44 ";"2.860,36 ";"103.421 ";"63,58 ";"2.871,44 ";"2.860,36 "
"2019";"";"110.878 ";"63,80 ";"2.755,83 ";"2.560,10 ";"110.878 ";"63,80 ";"2.755,83 ";"2.560,10 "
"2020";"";"121.959 ";"63,90 ";"2.696,05 ";"2.636,60 ";"121.959 ";"63,90 ";"2.696,05 ";"2.636,60 "
"2021";"";"117.115 ";"63,74 ";"2.656,46 ";"2.652,27 ";"117.115 ";"63,74 ";"2.656,46 ";"2.652,27 "
"2022";"";"100.498 ";"63,68 ";"2.606,87 ";"2.525,73 ";"100.498 ";"63,68 ";"2.606,87 ";"2.525,73 "
"2023";"";"87.327 ";"63,86 ";"2.629,77 ";"2.400,80 ";"87.327 ";"63,86 ";"2.629,77 ";"2.400,80 "
"2024";"";"85.998 ";"63,96 ";"2.599,61 ";"2.335,12 ";"85.998 ";"63,96 ";"2.599,61 ";"2.335,12 "
"2025";"";"82.124 ";"64,21 ";"2.544,68 ";"2.334,39 ";"82.124 ";"64,21 ";"2.544,68 ";"2.334,39 "
"Totale";"";"2.355.382 ";"59,58 ";"2.548,19 ";"2.431,52 ";"2.355.382 ";"59,58 ";"2.548,19 ";"2.431,52 "
